feature,importance_mean,importance_std,importance_cv,presence_rate
rfm_monetary_value_3m_X_behavior_amt_recent,0.00035881700880289514,0.00011497694914418616,0.3204324931398439,0.0
behavior_amt_previous_6m_DIV_behavior_amt_previous_1m,0.0012260367692684439,0.0006413696342910522,0.523123879514533,0.6
behavior_amt_recent_6m_DIV_rfm_monetary_delta_6m,0.0013955219279756458,0.0006504792000622772,0.4661186047339734,0.6
behavior_amt_recent_6m_X_behavior_amt_previous_3m,0.001055977293425499,0.00046772109639626395,0.44292680948868624,0.4
behavior_amt_recent_3m_X_rfm_monetary_delta_3m,0.0006779395150773788,0.0004018358388678821,0.5927302321237098,0.2
behavior_amt_recent_3m_X_behavior_amt_previous,0.0010021597544573146,0.0004372066250312619,0.43626396572276077,0.2
cc_transaction_all_amt_max_3m,0.0010096001705128489,0.0004466243011043476,0.4423769644378236,0.6
lifecycle_activity_consistency,0.0,0.0,0.0,0.0
behavior_amt_previous_DIV_behavior_amt_recent_3m,0.001962532283978293,0.0004764446850103248,0.24277024440804063,1.0
behavior_amt_previous_6m_X_rfm_monetary_delta_3m,0.0008375257315954083,0.000409555301184166,0.489005646905147,0.2
lifecycle_tenure_days_DIV_behavior_amt_previous_1m,0.0014902449782100684,0.000631428261222913,0.4237074083443059,0.8
lifecycle_txn_share_6m,0.010660053133067112,0.007847429410299454,0.7361528667998978,1.0
rfm_monetary_delta_6m_DIV_behavior_amt_recent_1m,0.0007607935998680919,0.0004640139051046311,0.6099069383314271,0.2
behavior_products_previous_3m,0.0001319079619349897,7.93419584857372e-05,0.6014902802801243,0.0
behavior_products_change_pct,0.0009714418674787136,0.00027710873844815064,0.28525479750276994,0.4
eft_to_cc_amt_ratio,0.003858673919569758,0.00061685892283806,0.15986288964369139,1.0
behavior_amt_previous_6m_X_behavior_amt_recent,0.0027431345200724334,0.0012071983288135634,0.44007972627677067,1.0
behavior_amt_recent_DIV_rfm_monetary_delta_6m,0.0019304641634596011,0.0003952826474692246,0.20476031111632992,1.0
behavior_amt_recent_3m_DIV_behavior_amt_previous_3m,0.0012093422476337112,0.0008684472872056508,0.7181148023151557,0.4
eft_to_cc_cnt_ratio,0.002304479168071967,0.0010273480442609736,0.445804680159387,1.0
rfm_monetary_value_3m_X_behavior_amt_previous_3m,0.00011127771283189025,9.471230698988937e-05,0.8511269098967033,0.0
behavior_amt_previous_3m_X_behavior_amt_recent_1m,0.0007197498067547231,0.00033057452265358695,0.4592902426106487,0.2
rfm_monetary_value_3m_X_behavior_amt_previous,0.0,0.0,0.0,0.0
mobile_eft_all_amt_mean_12m,0.001554386988334993,0.0006907262566653741,0.4443718439983934,0.8
eft_cnt_index_3m_12m,0.002446568150482635,0.0006737215483139217,0.2753740061592032,1.0
